Y = Yahoo finance Specific,B = bloomberg specific,,,,,,,,,,,,,,
,,Webpage questions ,,gpt-3.5,gpt-4o,,agent w/ gpt-4o,agent w/ gpt-3.5-turbo,Quantitative Questions,,agent w/ gpt-4o ,agent w/ gpt-3.5-turbo,,gpt-4o ,gpt-3.5
,B,"How much is canada investing to build chip network
",,0.5,0.5,,0.5,0.5,What is the P/E ratio for Gamestop?,,1,0.5,,0.5,0.5
,B,"How much did Amazon recently hit in value?
",,0.5,0.5,,1,0.5,What is the P/E ratio for Tesla?,,1,1,,0,0
,B,"How is Hungary's CPI
",,0,0,,1,1,What is the P/E ratio for NVIDIA?,,1,1,,0.5,0.5
,Y,What is the price of FTSE 100,,0,0,,1,1,What is the price of Amazon stock?,,1,1,,0.5,0
,Y,What is the current value of the S&P 500 index?,,0,0.5,,1,0,What is the price of Walmart stock?,,1,1,,0.5,0.5
,Y,By what percentage is the Nasdaq index up?,,0.5,0,,1,1,What is the price of Proctor and Gamble stock?,,1,1,,0,0
,Y,What is the current yield of the US 10 Year Treasury bond?,,0,0,,1,1,What is the P/E ratio for Amazon?,,0.5,0.5,,0,0
,Y,"Has the price of crude oil increased or decreased, and by how much?",,0,0,,1,0.5,What is the P/E ratio for Walmart?,,1,0.5,,0.5,0
,Y,What is the current price of gold and by what percentage has it changed?,,0,0,,1,1,What is the P/E ratio for Proctor and Gamble?,,1,1,,0,0
,Y,What is the exchange rate for the Euro against the US Dollar?,,0.5,0,,1,1,What is the net income of Amazon for the previous fiscal year?,,1,1,,0,0.5
,Y,How much has the Pound/Dollar exchange rate changed?,,0,0.5,,1,1,What is the net income of Walmart for the previous fiscal year?,,1,1,,0.5,0
,Y,How much has Kamala Harris raised in her campaign fundraising in the first week?,,0,0,,1,1,What is the net income of Proctor and Gamble for the previous fiscal year?,,1,1,,0.5,0
,Y,Who are the top contenders for Harris' running mate according to the article?,,0,0.5,,0.5,0.5,What is the earnings per share (EPS) of Amazon?,,1,1,,0,0
,Y,What is Harris' current favorability rating in the ABC News/Ipsos poll?,,0,0,,1,1,What is the earnings per share (EPS) of Walmart?,,1,1,,0,0.5
,Y,What is Janet Yellen's stance on the argument that a strong dollar hurts US manufacturing?,,0,0.5,,1,1,What is the earnings per share (EPS) of Proctor and Gamble?,,0.5,0.5,,0,0.5
,Y,Which company’s intelligence feature is expected to miss the initial launch of iOS 18?,,0,0,,1,0.5,What is the discounted cash flow of Amazon?,,1,1,,0.5,0
,Y,What milestone has Apple reached in the US regarding retail union contracts?,,0,0.5,,0.5,0.5,What is the discounted cash flow of Walmart?,,1,1,,0.5,0.5
,Y,Who are the key political figures in the upcoming Venezuelan elections?,,0.5,0,,1,1,What is the discounted cash flow of Proctor and Gamble?,,1,0.5,,0.5,0
,Y,What recent warning has Vladimir Putin issued related to US missiles in Germany?,,0,0,,1,1,What is the price of Intel stock?,,1,1,,0,0
,Y,What significant economic reform plan did Ethiopia announce regarding its currency?,,0,1,,1,1,What is the price of AMD stock?,,0.5,1,,0.5,0
,Y,What recent financial action has been taken regarding Libya after the 2023 floods?,,0,0.5,,1,1,What is the price of Facebook stock?,,1,1,,0,0.5
,Y,What is the main reason for Joe Rogan's influence in the comedy industry in Austin?,,0.5,0,,1,1,What is the P/E ratio for Intel?,,1,1,,0,0
,Y,"How is Disney planning to counter ""superhero fatigue"" according to Bloomberg Businessweek?",,0,0.5,,1,0.5,What is the P/E ratio for AMD?,,1,0.5,,0.5,0.5
,Y,What alarming business problem did Roblox face recently?,,0.5,0,,1,1,What is the price of IBM stock?,,1,1,,0,0
,B,What is the current value of the Nasdaq?,,0.5,0,,1,1,What is the price of Disney stock?,,0.5,0.5,,0,0
,B,What is the S&P 500 currently trading at?,,0,0.5,,1,1,What is the price of Coca-Cola stock?,,1,1,,0.5,0
,B,What is the current yield of the US 10-Year Treasury note?,,0,0,,1,1,What is the P/E ratio for IBM?,,1,0.5,,0.5,0.5
,B,How is the FTSE 100 performing?,,0,0,,1,0.5,What is the P/E ratio for Disney?,,0.5,1,,0,0
,B,What is the current price of Crude Oil?,,0.5,0,,1,1,What is the P/E ratio for Coca-Cola?,,1,0.5,,0.5,0
,B,How much is Gold trading at right now?,,0,0,,1,1,What is the earnings per share (EPS) of IBM?,,1,0.5,,0,0
,B,What is the current exchange rate for the Euro to the US Dollar?,,0,1,,0,1,What is the earnings per share (EPS) of Disney?,,1,0.5,,0.5,0
,B,What is the current exchange rate for the British Pound to the US Dollar?,,0,0.5,,1,0,What is the earnings per share (EPS) of Coca-Cola?,,1,1,,0.5,0.5
,B,What major event is traders focusing on regarding global monetary policy this week?,,0.5,0,,1,1,What is the net income of IBM for the previous fiscal year?,,1,1,,0,0.5
,B,Has Big Tech positively influenced US stock performance before the earnings report?,,0,0.5,,1,1,What is the net income of Disney for the previous fiscal year?,,1,1,,0.5,0
,B,What recent prediction have bond traders made about Federal Reserve rate cuts?,,0,0,,1,1,What is the net income of Coca-Cola for the previous fiscal year?,,1,1,,0,0
,B,How many years has it been since Treasuries last saw a winning streak like the current one?,,0,0.5,,1,1,What is the current yield on a 30-Year US Treasury bond?,,0.5,1,,0.5,0.5
,B,What significant action has Donald Trump pledged regarding the SEC and the US crypto industry?,,0,0,,1,1,What is the recent trading volume for Apple stock?,,1,1,,0,0.5
,B,What recent election results are in dispute regarding Venezuela?,,0,0,,1,1,What is the latest price of platinum?,,1,1,,0.5,0
,B,What recent challenge is McDonald’s facing that has impacted sales?,,0,0.5,,1,1,What is the latest value of the Shanghai Composite Index?,,0.5,1,,0,0
,B,What recent news has come out about Kamala Harris and the 2024 election?,,0,0,,1,1,What is the current price of Copper?,,1,1,,0.5,0.5
,B,How is the Canadian military preparing for potential future challenges?,,0.5,0,,1,1,What is the current exchange rate for the Canadian Dollar against the US Dollar?,,1,0,,0,0.5
,B,What is the current status of tensions and conflicts involving Israel?,,0,0,,0.5,0.5,What is the current price of Natural Gas?,,1,1,,0.5,0
,B,How have recent acts of sabotage disrupted internet services in France?,,0,0.5,,1,1,What is the current price of Ethereum?,,1,1,,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,0.119047619,0.2301587302,,0.9444444444,0.880952381,,,0.9285714286,0.8492063492,,0.2857142857,0.1904761905
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,yahoo finance specific avg for agent w/ 3.5,0.8548387097,,,,,bloomberg finance specific avg for agent w/ 3.5,,0.9032258065,,,,,,
,yahoo finance specific avg for agent w/ 4o,0.9516129032,,,,,bloomberg finance specific avg for agent w/ 4o,,0.935483871,,,,,,
,yahoo finance specific avg 3.5,0.1129032258,,,,,bloomberg finance specific avg  3.5,,0.1290322581,,,,,,
,yahoo finance specific avg 4o,0.1935483871,,,,,bloomberg finance specific avg 4o,,0.2741935484,,,,,,
